iter	MultiClass
0	1.655279196
1	1.475895193
2	1.350064525
3	1.251903346
4	1.173399273
5	1.108314682
6	1.053998968
7	1.007414704
8	0.9659005646
9	0.9313025409
10	0.9011714058
11	0.8759581332
12	0.8524023058
13	0.8323405317
14	0.8146637284
15	0.7966503122
16	0.7809651749
17	0.7658210464
18	0.7539956502
19	0.7419007332
20	0.7323366216
21	0.7232112767
22	0.7155871355
23	0.707650207
24	0.6996620233
25	0.6925278716
26	0.6878388577
27	0.6826861756
28	0.6773971796
29	0.6728703318
30	0.6672471754
31	0.6634462529
32	0.6591873309
33	0.6553159838
34	0.6517748705
35	0.6467750556
36	0.642794131
37	0.6399691371
38	0.6362661283
39	0.6326389218
40	0.6290541555
41	0.6261871409
42	0.6231179508
43	0.6200510927
44	0.6177714984
45	0.6144865818
46	0.6125791598
47	0.6103644163
48	0.6084454916
49	0.6052230278
50	0.6029569212
51	0.6010099197
52	0.5989008011
53	0.5962886857
54	0.5946908783
55	0.5922760439
56	0.5906978349
57	0.5892454896
58	0.5884893546
59	0.5870817126
60	0.5852127732
61	0.5839135701
62	0.5822419619
63	0.5806676511
64	0.5793291187
65	0.5777117943
66	0.5753650105
67	0.574126667
68	0.5731910174
69	0.5717131824
70	0.5697785425
71	0.5683438398
72	0.5667207772
73	0.5650475624
74	0.563461786
75	0.5626038291
76	0.5615727304
77	0.5601452135
78	0.5589403772
79	0.5574848731
80	0.5566629882
81	0.5550157557
82	0.5540600195
83	0.5530374821
84	0.5521413927
85	0.5506591243
86	0.5490103791
87	0.5476875345
88	0.5466489704
89	0.5454860357
90	0.5448658297
91	0.5441058839
92	0.5429320556
93	0.5418216864
94	0.5405506347
95	0.539432591
96	0.5382743919
97	0.5374244266
98	0.5361057558
99	0.534889105
100	0.5338743175
101	0.5324783927
102	0.53160949
103	0.5308169007
104	0.529854397
105	0.5290258951
106	0.5283292796
107	0.5276019987
108	0.5266505151
109	0.5251316218
110	0.5243681669
111	0.5237475936
112	0.5226480097
113	0.5220115666
114	0.521153679
115	0.5204182832
116	0.5189732011
117	0.518388537
118	0.5175983027
119	0.5161961358
120	0.5153033406
121	0.5142239704
122	0.5127569994
123	0.5120308396
124	0.511219522
125	0.5108587465
126	0.5100870313
127	0.5091182701
128	0.5081995651
129	0.507469407
130	0.5067179538
131	0.5060413562
132	0.5052931764
133	0.5046550406
134	0.5037787421
135	0.5029277961
136	0.5018933977
137	0.5011348829
138	0.5002110796
139	0.4993989372
140	0.4988537598
141	0.4980853706
142	0.4975590945
143	0.4971952388
144	0.4963734984
145	0.4953699935
146	0.4946147894
147	0.4937244794
148	0.4926579914
149	0.4919312202
150	0.4908406554
151	0.4903964682
152	0.4897052073
153	0.4889847663
154	0.488410726
155	0.4880433966
156	0.4873223173
157	0.4866639225
158	0.486087657
159	0.4853836526
160	0.4848118984
161	0.4843021221
162	0.4838760637
163	0.4831864221
164	0.482097612
165	0.4813945469
166	0.4809333072
167	0.4802197315
168	0.4795199604
169	0.479149425
170	0.4784171064
171	0.4779694543
172	0.4773375596
173	0.4767340098
174	0.4761211686
175	0.4754197549
176	0.4744473019
177	0.4740199275
178	0.4734964942
179	0.4729688117
180	0.4724343752
181	0.4720937473
182	0.4717722304
183	0.471240282
184	0.4710094157
185	0.4704910364
186	0.4697860841
187	0.469250931
188	0.4689122482
189	0.4682230703
190	0.467555203
191	0.4667546176
192	0.4661688834
193	0.465443596
194	0.4648054151
195	0.4644589487
196	0.4639455208
197	0.4631471592
198	0.4625670726
199	0.4621497381
200	0.461672172
201	0.4611430661
202	0.4607052631
203	0.4602382628
204	0.4595825247
205	0.4592078181
206	0.4585561605
207	0.4578875002
208	0.4569333034
209	0.4563800839
210	0.4560359408
211	0.4555952285
212	0.4550834242
213	0.4543844456
214	0.4540739681
215	0.4534078102
216	0.4527615556
217	0.452516468
218	0.4518689798
219	0.4513576688
220	0.4509678364
221	0.4503624168
222	0.4499433266
223	0.4496214625
224	0.4488893574
225	0.4483082408
226	0.4479236216
227	0.4474426265
228	0.446948704
229	0.4465112373
230	0.4459804579
231	0.445702473
232	0.4451396156
233	0.4448017015
234	0.444243367
235	0.4438139768
236	0.4433931525
237	0.442998791
238	0.4425689183
239	0.4422981783
240	0.4418184516
241	0.441400245
242	0.4409731367
243	0.4407911076
244	0.4401579617
245	0.4397937819
246	0.4394436714
247	0.4388836879
248	0.4385000655
249	0.4380460498
250	0.43755292
251	0.4371999669
252	0.4368519659
253	0.4363883677
254	0.4357727615
255	0.4353711817
256	0.4348024065
257	0.4343059293
258	0.4339534209
259	0.4334161153
260	0.4329445873
261	0.4324141944
262	0.4318833783
263	0.431269235
264	0.4308497801
265	0.4304576501
266	0.4299092609
267	0.4296071079
268	0.4291924088
269	0.4287483746
270	0.4280753689
271	0.4276376608
272	0.4271332727
273	0.4267425583
274	0.42633204
275	0.4259025605
276	0.4256767665
277	0.4253922809
278	0.4251444944
279	0.4245263631
280	0.4243601267
281	0.4239447265
282	0.4236844941
283	0.4232261774
284	0.4228024768
285	0.4224213215
286	0.4221495567
287	0.4218765176
288	0.4214533046
289	0.4210927243
290	0.4207966713
291	0.4203766058
292	0.4199983897
293	0.4195568191
294	0.4190892007
295	0.4187158329
296	0.418462491
297	0.4182181587
298	0.4179811501
299	0.4175914324
300	0.4172239985
301	0.4165925002
302	0.4160569255
303	0.4156762154
304	0.4153244169
305	0.4149916555
