iter	Passed	Remaining
0	108	108424
1	178	89292
2	256	85173
3	326	81190
4	409	81431
5	482	80002
6	560	79476
7	636	78950
8	705	77730
9	798	79051
10	919	82694
11	983	81009
12	1059	80430
13	1138	80150
14	1291	84775
15	1368	84145
16	1440	83315
17	1524	83173
18	1597	82461
19	1674	82030
20	1741	81207
21	1820	80946
22	1899	80687
23	1973	80251
24	2048	79893
25	2121	79458
26	2218	79946
27	2294	79667
28	2362	79116
29	2420	78266
30	2488	77796
31	2556	77333
32	2622	76839
33	2695	76585
34	2759	76088
35	2838	76015
36	2908	75709
37	2979	75426
38	3071	75674
39	3169	76078
40	3241	75820
41	3308	75471
42	3386	75371
43	3458	75141
44	3553	75422
45	3626	75203
46	3698	74991
47	3765	74688
48	3838	74489
49	3914	74371
50	3984	74136
51	4044	73741
52	4157	74285
53	4223	73984
54	4278	73515
55	4346	73270
56	4413	73017
57	4477	72717
58	4537	72373
59	4615	72309
60	4675	71972
61	4734	71625
62	4801	71410
63	4870	71233
64	5009	72053
65	5074	71806
66	5150	71721
67	5221	71570
68	5281	71265
69	5348	71059
70	5421	70937
71	5503	70931
72	5574	70794
73	5646	70652
74	5720	70555
75	5796	70471
76	5896	70677
77	5983	70731
78	6053	70575
79	6124	70429
80	6200	70346
81	6320	70763
82	6388	70576
83	6452	70359
84	6530	70295
85	6604	70187
86	6667	69966
87	6730	69757
88	6799	69596
89	6862	69388
90	6916	69091
91	6987	68958
92	7071	68963
93	7152	68939
94	7240	68972
95	7310	68842
96	7402	68909
97	7471	68770
98	7547	68689
99	7624	68618
100	7691	68464
101	7759	68311
102	7824	68140
103	7889	67973
104	7955	67808
105	8045	67852
106	8156	68073
107	8220	67898
108	8292	67784
109	8369	67720
110	8436	67571
111	8498	67379
112	8562	67211
113	8630	67072
114	8703	66980
115	8773	66859
116	8848	66781
117	8935	66791
118	9008	66693
119	9087	66644
120	9171	66624
121	9268	66700
122	9360	66744
123	9459	66829
124	9525	66675
125	9583	66473
126	9655	66373
127	9731	66299
128	9914	66938
129	9995	66891
130	10076	66842
131	10148	66732
132	10220	66622
133	10304	66591
134	10378	66500
135	10461	66458
136	10551	66465
137	10621	66346
138	10690	66216
139	10762	66110
140	10831	65987
141	10910	65926
142	10976	65784
143	11040	65630
144	11106	65490
145	11176	65373
146	11250	65283
147	11343	65299
148	11410	65170
149	11476	65033
150	11565	65026
151	11639	64937
152	11705	64803
153	11774	64682
154	11839	64542
155	11895	64360
156	11962	64231
157	12042	64178
158	12121	64115
159	12198	64040
160	12277	63980
161	12435	64329
162	12501	64197
163	12576	64110
164	12659	64065
165	12718	63898
166	12811	63903
167	12888	63827
168	12953	63694
169	13017	63556
170	13084	63433
171	13154	63323
172	13217	63185
173	13286	63074
174	13350	62939
175	13422	62841
176	13507	62804
177	13585	62739
178	13650	62610
179	13725	62526
180	13826	62561
181	13907	62506
182	13983	62429
183	14061	62357
184	14129	62244
185	14204	62163
186	14271	62046
187	14361	62029
188	14435	61943
189	14515	61881
190	14582	61766
191	14653	61664
192	14722	61559
193	14789	61445
194	14860	61348
195	14925	61226
196	15020	61227
197	15102	61173
198	15165	61043
199	15228	60912
200	15286	60764
201	15353	60655
202	15419	60538
203	15488	60434
204	15554	60320
205	15633	60255
206	15706	60170
207	15774	60066
208	15840	59951
209	15911	59856
210	15977	59745
211	16056	59679
212	16190	59822
213	16274	59775
214	16330	59624
215	16395	59509
216	16465	59413
217	16525	59278
218	16646	59364
219	16800	59563
220	16858	59423
221	16918	59290
222	16991	59203
223	17063	59112
224	17138	59031
225	17276	59167
226	17345	59067
227	17421	58989
228	17493	58897
229	17569	58820
230	17635	58708
231	17694	58574
232	17762	58470
233	17834	58380
234	17915	58320
235	17991	58243
236	18076	58196
237	18148	58105
238	18218	58009
239	18296	57937
240	18373	57864
241	18462	57828
242	18551	57793
243	18617	57684
244	18718	57682
245	18809	57652
246	18877	57550
247	18974	57534
248	19062	57494
249	19131	57393
250	19204	57308
251	19285	57242
252	19362	57168
253	19438	57092
254	19519	57026
255	19593	56944
256	19677	56887
257	19760	56831
258	19834	56745
259	19911	56671
260	19976	56562
261	20038	56443
262	20106	56343
263	20183	56268
264	20260	56194
265	20319	56069
266	20384	55961
267	20450	55856
268	20516	55753
269	20575	55630
270	20649	55548
271	20721	55460
272	20801	55395
273	20884	55336
274	20958	55254
275	21026	55157
276	21104	55083
277	21166	54971
278	21246	54906
279	21328	54844
280	21387	54724
281	21456	54630
282	21526	54539
283	21607	54474
284	21690	54415
285	21773	54358
286	21843	54266
287	21922	54196
288	21987	54093
289	22077	54051
290	22153	53976
291	22216	53866
292	22279	53759
293	22354	53680
294	22426	53596
295	22493	53498
296	22563	53407
297	22640	53333
298	22730	53291
299	22797	53195
300	22861	53090
301	22948	53040
302	23015	52943
303	23079	52840
304	23148	52748
305	23208	52635
306	23287	52568
307	23357	52479
308	23436	52409
309	23506	52320
310	23574	52228
311	23650	52152
312	23718	52060
313	23791	51977
314	23855	51877
315	23943	51827
316	24014	51741
317	24088	51661
318	24154	51565
319	24225	51479
320	24287	51373
321	24359	51291
322	24458	51264
323	24518	51155
324	24580	51052
325	24645	50953
326	24728	50894
327	24815	50842
328	24885	50754
329	24989	50735
330	25138	50808
331	25228	50761
332	25326	50729
333	25420	50688
334	25496	50611
335	25562	50516
336	25632	50427
337	25699	50334
338	25763	50234
339	25838	50157
340	25913	50078
341	25984	49993
342	26057	49912
343	26133	49836
344	26203	49748
345	26289	49692
346	26382	49647
347	26454	49563
348	26548	49521
349	26654	49501
350	26741	49445
351	26854	49437
352	26944	49384
353	27015	49298
354	27081	49204
355	27199	49202
356	27286	49147
357	27369	49082
358	27441	48997
359	27512	48911
360	27586	48830
361	27657	48744
362	27730	48661
363	27808	48587
364	27880	48503
365	27956	48427
366	28040	48364
367	28105	48268
368	28174	48179
369	28241	48087
370	28311	48000
371	28385	47919
372	28460	47841
373	28537	47765
374	28616	47694
375	28689	47612
376	28770	47544
377	28833	47444
378	28904	47359
379	28969	47265
380	29045	47189
381	29116	47104
382	29184	47014
383	29243	46911
384	29311	46821
385	29384	46740
386	29453	46653
387	29510	46547
388	29581	46464
389	29651	46377
390	29716	46284
391	29792	46209
392	29858	46117
393	29926	46029
394	29999	45949
395	30065	45856
396	30146	45788
397	30217	45705
398	30285	45618
399	30362	45544
400	30441	45472
401	30508	45383
402	30570	45286
403	30639	45201
404	30705	45109
405	30770	45019
406	30839	44932
407	30911	44852
408	31011	44811
409	31079	44723
410	31142	44630
411	31223	44562
412	31308	44498
413	31384	44424
414	31457	44343
415	31584	44340
416	31661	44265
417	31750	44207
418	31838	44148
419	31912	44069
420	31988	43993
421	32058	43909
422	32127	43823
423	32185	43723
424	32266	43654
425	32349	43587
426	32430	43519
427	32507	43444
428	32576	43359
429	32646	43275
430	32708	43181
431	32791	43114
432	32851	43017
433	32918	42931
434	32986	42844
435	33055	42759
436	33126	42677
437	33196	42594
438	33266	42510
439	33331	42422
440	33423	42366
441	33485	42273
442	33550	42184
443	33610	42088
444	33676	42000
445	33745	41917
446	33820	41840
447	33899	41769
448	33970	41688
449	34043	41608
450	34110	41522
451	34184	41445
452	34253	41361
453	34320	41275
454	34471	41290
455	34551	41218
456	34635	41153
457	34742	41114
458	34800	41017
459	34877	40943
460	34945	40857
461	35022	40783
462	35094	40703
463	35165	40621
464	35229	40532
465	35295	40445
466	35369	40367
467	35441	40288
468	35506	40199
469	35591	40134
470	35682	40077
471	35743	39983
472	35808	39896
473	35877	39813
474	35959	39744
475	36022	39655
476	36093	39573
477	36166	39496
478	36225	39401
479	36286	39310
480	36364	39236
481	36437	39159
482	36502	39071
483	36563	38981
484	36632	38898
485	36695	38809
486	36772	38736
487	36842	38654
488	37000	38664
